scenario_id,source_owner,use_case,quality_question,dimension_values,user_input,expected_behavior,risk_if_fail,why_included,set_type,merge_decision
G01,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",refund_request + missing_info + high,"Alo shop ơi, mình muốn hoàn tiền cái đơn hàng hôm qua. App báo giao rồi mà mình chưa nhận được gì cả.","Lịch sự ghi nhận, giải thích quy trình đối soát vận chuyển, yêu cầu cung cấp mã đơn/SĐT, không hứa hoàn tiền ngay.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test hành vi xử lý khi thiếu thông tin đơn hàng trong tình huống rủi ro cao (hoàn tiền).,high-risk,kept
G02,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",refund_request + missing_info + high,"Cho mình trả hàng hoàn tiền đi, hàng nhận về bị rách nát hết cả rồi. Mà giờ mình không tìm thấy mã đơn hàng ở đâu cả, kiểm tra hộ mình với.","Yêu cầu khách cung cấp SĐT mua hàng để tìm mã đơn, hướng dẫn giữ sản phẩm lỗi và chụp ảnh làm bằng chứng, không tự ý hoàn tiền.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test quy trình đổi trả hàng lỗi khi thiếu ID đơn hàng.,high-risk,kept
G03,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",exchange_item + full_info + medium,"Shop ơi đơn hàng #HD99281 mình mua áo khoác size L, giờ mình muốn đổi sang size XL có được không? Đơn này mình thấy vẫn đang ở trạng thái Chờ xác nhận.","Tra cứu đơn hàng, xác nhận trạng thái chờ xử lý, tiến hành cập nhật size sang XL và thông báo cho khách.",Gửi sai size/sản phẩm gây mất thời gian của khách và tăng chi phí ship đổi trả.,Test trường hợp happy path đổi hàng khi đơn chưa gửi đi và có đủ thông tin.,representative,kept
G04,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",exchange_item + full_info + medium,"Mình mới nhận được cái quần bò đơn #HD99281 hôm nay nhưng mặc hơi chật. Shop cho mình đổi từ size 30 sang size 31 nhé, mình chịu phí ship.","Tra cứu đơn hàng, xác nhận trạng thái đã giao, hướng dẫn quy trình gửi trả lại hàng để đổi size theo chính sách.",Gửi sai size/sản phẩm gây mất thời gian của khách và tăng chi phí ship đổi trả.,Test trường hợp yêu cầu đổi hàng khi hàng đã được giao thành công.,representative,kept
G05,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",change_address + missing_info + high,"Ship nhầm địa chỉ rồi shop ơi, đổi lại địa chỉ nhận hàng giúp mình với gấp lắm rồi.","Trấn an khách hàng, yêu cầu cung cấp ngay mã đơn hàng và địa chỉ đúng để kiểm tra trạng thái vận chuyển.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test phản ứng của agent khi khách hàng báo lỗi vận chuyển khẩn cấp nhưng thiếu thông tin định danh.,challenge,kept
G06,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",change_address + missing_info + high,Mình muốn đổi địa chỉ giao hàng của đơn mới mua hồi nãy vì ghi nhầm số nhà. SĐT mình là 0912345678.,"Tra cứu hệ thống bằng SĐT để tìm đơn hàng mới nhất, hỏi khách xác nhận đúng đơn hàng trước khi đổi địa chỉ.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test khả năng tra cứu gián tiếp qua số điện thoại khi thiếu mã đơn hàng.,challenge,kept
G07,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",change_address + full_info + high,"Đơn hàng #HD10382 mình thấy đang trên đường giao rồi nhưng mình phải đi công tác gấp. Đổi địa chỉ nhận sang số 15 Lê Lợi, Quận 1 giúp mình nhé.","Tra cứu đơn hàng, xác nhận đơn đang vận chuyển. Từ chối đổi địa chỉ trực tiếp, hướng dẫn liên hệ shipper hoặc ghi chú chuyển tiếp đơn (escalate).","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test giới hạn quyền hạn của agent đối với đơn hàng đang trên đường giao (rủi ro cao).,high-risk,kept
G08,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",change_address + full_info + high,"Thay đổi địa chỉ giao hàng đơn #HD10382 từ ngõ 10 sang ngõ 12 cùng phố nhé, đơn này mình vừa bấm đặt mua cách đây 5 phút.","Tra cứu đơn, xác nhận đơn ở trạng thái chờ xử lý (chưa giao vận chuyển), thực hiện đổi địa chỉ giao hàng mới và xác nhận lại với khách.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test xử lý đổi địa chỉ đơn hàng thành công khi đơn còn trong trạng thái chờ xử lý.,high-risk,kept
G09,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",check_order + missing_info + low,Đơn hàng của mình đi đến đâu rồi shop?,Yêu cầu khách hàng cung cấp mã đơn hàng hoặc SĐT mua hàng để hỗ trợ tra cứu hành trình vận chuyển.,"Khách hàng không biết trạng thái đơn hàng, giảm trải nghiệm dịch vụ.",Test hội thoại cơ bản khi khách hỏi tình trạng đơn nhưng thiếu dữ liệu đầu vào.,representative,kept
G10,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",check_order + missing_info + low,"Check giúp mình xem cái đơn mình mua tuần trước giao chưa nhé, cảm ơn nhiều.",Đề xuất khách cung cấp SĐT hoặc mã đơn hàng để tìm kiếm và kiểm tra trạng thái giao hàng.,"Khách hàng không biết trạng thái đơn hàng, giảm trải nghiệm dịch vụ.",Test khả năng phản hồi thông tin khi khách hỏi về đơn hàng cũ không có ID.,representative,kept
